13,Roman to Integer,54.80%,Easy
14,Longest Common Prefix,34.80%,Easy
20,Valid Parentheses,38.30%,Easy
28,Implement strStr(),34.00%,Easy
35,Search Insert Position,41.50%,Easy
38,Count and Say,43.50%,Easy
58,Length of Last Word,32.50%,Easy
66,Plus One,42.00%,Easy
67,Add Binary,42.80%,Easy
69,Sqrt(x),33.10%,Easy
83,Remove Duplicates from Sorted List,44.60%,Easy
101,Symmetric Tree,45.90%,Easy
118,Pascal's Triangle,50.70%,Easy
119,Pascal's Triangle II,47.50%,Easy
136,Single Number,64.70%,Easy
155,Min Stack,42.50%,Easy
157,Read N Characters Given Read4,32.70%,Easy
167,Two Sum II - Input array is sorted,52.90%,Easy
168,Excel Sheet Column Title,30.40%,Easy
169,Majority Element,56.30%,Easy
170,Two Sum III - Data structure design,32.90%,Easy
171,Excel Sheet Column Number,53.50%,Easy
172,Factorial Trailing Zeroes,37.70%,Easy
190,Reverse Bits,35.70%,Easy
191,Number of 1 Bits,47.60%,Easy
193,Valid Phone Numbers,25.30%,Easy
195,Tenth Line,33.40%,Easy
197,Rising Temperature ,37.50%,Easy
204,Count Primes ,30.80%,Easy
205,Isomorphic Strings,39.20%,Easy
217,Contains Duplicate,55.20%,Easy
219,Contains Duplicate II,37.00%,Easy
231,Power of Two,42.90%,Easy
235,Lowest Common Ancestor of a Binary Search Tree ,48.50%,Easy
242,Valid Anagram,55.60%,Easy
243,Shortest Word Distance,60.20%,Easy
246,Strobogrammatic Number,44.30%,Easy
252,Meeting Rooms,53.90%,Easy
256,Paint House,51.40%,Easy
257,Binary Tree Paths,49.60%,Easy
263,Ugly Number,41.20%,Easy
266,Palindrome Permutation,61.30%,Easy
270,Closest Binary Search Tree Value,46.50%,Easy
276,Paint Fence,37.70%,Easy
278,First Bad Version,33.50%,Easy
290,Word Pattern,36.40%,Easy
292,Nim Game,56.10%,Easy
293,Flip Game,60.20%,Easy
299,Bulls and Cows,41.70%,Easy
303,Range Sum Query - Immutable,42.60%,Easy
339,Nested List Weight Sum,72.20%,Easy
342,Power of Four,41.20%,Easy
344,Reverse String,66.10%,Easy
345,Reverse Vowels of a String ,43.30%,Easy
346,Moving Average from Data Stream,69.40%,Easy
349,Intersection of Two Arrays,60.20%,Easy
350,Intersection of Two Arrays II ,50.60%,Easy
359,Logger Rate Limiter,69.10%,Easy
367,Valid Perfect Square,41.00%,Easy
371,Sum of Two Integers,50.60%,Easy
374,Guess Number Higher or Lower,41.80%,Easy
383,Ransom Note,51.70%,Easy
387,First Unique Character in a String,51.70%,Easy
